response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
Taylor likes pizza,1,,,,,,,,,
Parker is not in the mood for hot dogs and tries pizza,,,,,1,,,,,
Charlie likes hot dogs but not pizza,1,,,,,,,,,
Jesse is sporty and he likes hot dogs but not pizza,1,1,,,,,,,,
He went to the pizza truck because he wanted to eat something new.,,,,,1,,,,,
He went to the hot dog truck because it's his favorite.,1,,,,,,,,,
I chose that because it was the best path in sight.,,,,1,,,,,,
I guess he didn't have a clear vision of the road and that's why he made that turn.,,,,1,,,,,,
The food truck was very close.,,,,1,,,,,,
He didn't see the dog cart from that point where he was,,,,1,,,,,,
He wanted to eat only his favorite food.,1,,,,,,,,,
I'm not sure why he made that turn,,,,,,,,,1,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They go to the pizza stand because it's closer.,,,,1,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They go to the hot dog stand because it's closer.,,,,1,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
"They don't know the hot dogs stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
It was nearest and they are lazy.,,1,,1,,,,,,
She decided to go what was directly in front of her.,,,,,,,,,,
They must've thought that this particular hot dog stand wasn't too good.,,,,,,,,1,,
They really wanted the hotdogs.,,,,,1,,,,,
They wanted to exercise.,,,,,,1,,,,
He must've got lost.,,,,,,,1,,,
He wanted to go for a run.,,,,,,1,,,,
He really likes the hot dogs.,1,,,,,,,,,
He went there because it was his favorite food.,1,,,,,,,,,
He didn't pay attention to the road and that's why he jumped the other food cart.,,,,,,,,1,,
It was the closest food cart.,,,,1,,,,,,
I have no idea why he chose that long path.,,,,,,,,,1,
I had no idea their food cart was so close.,,,,1,,,,,,
I wanted hot dogs I guess,,,,,1,,,,,
the pizza one was much closer,,,,1,,,,,,
It was the closest place,,,,1,,,,,,
Went for a walk and gotten to the first food stand he found,,,,,,,,,,
They wanted a hot dog but also a walk beforehand,,,,,1,,,,,
They wanted pizza but also wanted to go for a walk beforehand,,,,,1,,,,,
They wanted a hot dog,,,,,1,,,,,
they felt like having a pizza,1,,,,,,,,,
They really wanted a hot dog,,,,,1,,,,,
They did not feel like eating a hot dog,1,,,,,,,,,
They felt like having a pizza instead,1,,,,,,,,,
Shortest distance to the pizza place.,,,,,,,,,,
Wanted to take a more scenic route.,,,,,,1,,1,,
Shortest route to the hotdogs place.,,,,,,,,,,
Wanted to do bit of running,,,,,,1,,,,
wanted hotdogs and pizza,,,,,1,,,,,
Didnt know about the hotdogs but was hungry so had pizza,,,1,,,,,,,
Shorted route to hotdogs place,,,,,,,,,,
Wanted hotdogs first and the pizza,,,,,1,,,,,
Even seeing the hot dogs he went for the pizza I don't think he likes hot dogs very much.,1,,,1,,,,,,
"Despite being very lazy, I walked a long way to eat the pizza that was just a few meters away.",,1,,,,,,,,
He exercised and ate hot dogs.,,,,,,1,,,,
He preferred not to risk not finding anything and ate the hot dogs in plain sight.,1,,,,,,,,,
Hot dogs are definitely not his favorite food.,1,,,,,,,,,
His laziness led him straight to a good pizza.,,1,,,,,,,,
Regardless of his laziness I walk a lot to eat hot dogs.,,1,,,,,,,,
He has stopped at the hot dog truck and enjoyed his favorite food.,1,,,,,,,,,
daves favourite food is hotdogs,1,,,,,,,,,
they are trying to keep fit and be less lazy,,1,,,,,,,,
they wanted to be sporty and go the long way while getting their favourite food,1,1,,,,,,,,
they are trying to be less lazy and do more exercise,,1,,,,,,,,
it was the place they could see was close,,,,1,,,,,,
they wanted to try something new for once.,,,,,1,,,,,
his favourite food is hotdogs not pizza,1,,,,,,,,,
they wanted to go for a run and didnt want a hotdog so went past it and found the pizza one,,,,,1,,,,,
They don't know the area well so visit the first food stand,,,1,,,,,,,
Adrian wants pizza,,,,,1,,,,,
Taylor is sporty so went a long route to the pizza stand,,1,,,,,,,,
Charlie wanted to eat pizza today,,,,,1,,,,,
Harper was really hoping for a hot dog beacuse it's their favourtie,1,,,,,,,,,
Brooklyn was exploring the area because they didn't know it well and stopped at the first food cart they came to,,,1,,,,,,,
Parker knew they wanted a hot dog and took the sortest route.,,,,,1,,,,,
Drew wanted a hot dog and took the longest route becuase he is sporty,,1,,,1,,,,,
He goes to the pizza stand because it's very close.,,,,1,,,,,,
He went to the pizza stand because he didn't see the hot dog stand.,,,,1,,,,,,
He went to the hot dog stand because it's his favorite.,1,,,,,,,,,
He went to the hot dog stand because it's his favorite.,1,,,,,,,,,
I don't know why I chose that long path.,,,1,,,,,,,
I wanted to go to a pizza place,,,,,1,,,,,
This was the closest food place.,,,,1,,,,,,
This was the closest food place.,,,,1,,,,,,
Charlie could not decide between the pizza and hot dog stand.,,,,,,,,,,
Taylor wants to try something new and goes to the pizza stand.,,,,,1,1,,,,
Parker did not like the hot dog stand and walked for the pizza one.,1,,,,,,,,,
Harper walked to the hot dog stand because it is his favourite and it is not that far away compared to the pizza stand.,1,,,,,,,,,
Adrian walks to the pizza stand because it is the closest he can find.,,,,1,,,,,,
Jesse walked around until finding a hot dog stand.,,,,,,,,,,
Drew walked to the hot dog stand because he saw it first and had no preference.,1,,,1,,,,,,
Brooklyn wanted to consider the food options before walking to the pizza stand.,,,,,1,,,,,
they wanted to explore the area and hoped to get back to the hot dog stand,,,,,,,1,,,
saw hot dog. bought hot dog.,,,,1,,,,,,
he wanted a hot dog,,,,,1,,,,,
he gave into temptation. it was the beginning of a slow spiral into self loathing,,,,,,,,,,
they wanted to learn their surroundings and so went on an adventure,,,,,,,1,,,
parker has eaten hot dogs for 6 days straight and his body was screaming for something different,,,,,1,,,,,
"charlie was lost in thought and when he looked up he was at a hot dog stand ""huh i thought this was pizza""",,,,,,,1,,,
"adrian flipped a coin in his head ""left or right"" and ended up going right to the pizza",,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They don't know the pizza stand is around the corner,,,1,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
He wanted to walk around the residence and when he saw the hot dog stand he stopped to eat.,,,,1,,,,,,
Before eating pizza I wanted to walk around the block to see what was new.,,,,1,,,,,,
"He knew what he was going for and he wanted, his favorite food pizza.",1,,,,,,,,,
before going to eat your hot dog way to clear your mind a little,,,,,,,,,,
He went for a walk and they gave him some hot dogs.,,,,,,,,,,
Today it provokes him to eat pizza and he stopped to eat it.,,,,,1,,,,,
He went to eat his favorite food and it's close to him.,1,,,1,,,,,,
His favorite food is hot dogs but this time he wanted to give pizzas a try.,1,,,,1,,,,,
"Charlie must like hotdogs, we can deduce this as he walked a longer distance to get hot dogs from a stand he could not see, while he could initially see and was closer to the pizza cart, that means his preference for hot dogs is even greater than his lazyness.",1,1,,1,,,,,,
"Even though harpers favourite food is hot dogs and he's lazy he chose to ignore them and walk a much further distance to walk to the pizza stand, it is possible he's trying to offset the calories of the food he will eat by walking further.",1,1,,,,,,,,
"Drew took the long way around to the pizza stand on the road where he started out, this is because he is sporty and enjoys the exercise from the increased distance travelled.",,1,,,,,,,,
"brooklyn headed straight for the pizza stand because he could see it from his starting location, he was hungry and it was the only food stall he knew existed from his perspective.",,,1,1,,,,,,
Jesse's favourite food is hot dogs so he bee-lined to the hot dog stand to have one.,1,,,,,,,,,
"Taylor could see the hot dog stand from their starting spot, knowing the area wall he decided to take the long route to the stand to get some exercise as being sporty he likes that kind of thing.",1,1,1,1,,,,,,
"Parker knows the area well so knows the location of all the food choices, as he is lazy he went to the nearest food stand rather than his favourite.",1,1,1,1,,,,,,
"Adrian really doesn't like pizza, even though he's lazy he held out hope that there would be other food options and, after walking around the area he doesn't know luckily stumbled upon a hot dog stand, a food which he does tolerate.",1,1,1,,,,,,,
Adrian doesn't like pizza.,1,,,,,,,,,
"Jesse took the longer route to the pizza stand as they are sporty, and they didn't fancy hot dogs.",,1,,,,,,,,
"Charlie prefers pizza to hot dogs, and they took the longer route for pleasure.",1,,,,,,,,,
"Brooklyn prefers hot dogs to pizza, and took the longer route as they are sporty.",1,1,,,,,,,,
"Drew was hungry after physical activity, so went to the closest stand.",,,,1,,,,,,
Taylor wanted hot dogs.,,,,,1,,,,,
Parker took the longer route to the hot dogs as it is their favourite food and they don't know the area well.,1,,1,,,,,,,
"Harper couldn't see the hot dog stand so went the wrong direction to the pizza stand, as they don't know the area well.",,,1,1,,,,,,
I made him eat hot dog and he stopped to do it.,,,,,,,,,,
"He saw that the pizza stand was there but he preferred to go for a walk to see what else he saw, today his favorite food, which is hot dogs, didn't bother him and he turned around to eat the pizzas.",1,,,1,,,,,,
He wanted to eat pizza and he stopped to do it.,,,,,1,,,,,
"I end up eating his favorite food, which is pizza.",1,,,,,,,,,
Before eating he wanted to walk around the area and then eat hot dogs.,,,1,,,,,,,
"I don't give him a hot dog, but I do give him pizza.",,,,,1,,,,,
went to eat his favorite food,1,,,,,,,,,
This time he wanted to give pizza a chance.,,,,,1,,,,,
I wasn't hungry i was going to visit a friend so when i left the hot dog cart was closer.,,,,1,,,,,,
I wanted better hot dog,,,,,1,,,,,
the pizza cart is closer,,,,1,,,,,,
I had no idea how to get to the hot dog cart.,,,1,,,,,,,
you may not have seen the corner or the cart,,,,1,,,,,,
I wanted to eat pizza,,,,,1,,,,,
His favorite food is hot dog and he knows the area well.,1,,1,,,,,,,
His favorite food is hot dog and he knows the area well.,1,,1,,,,,,,
He took the shortest route because he is lazy to walk,,1,,,,,,,,
He took the shortest route because he couldn't wait having his favourite food,1,,,,,,,,,
Drew chose the path because he wanted to taste some pizza,,,,,1,,,,,
He chose the path to the nearest food caravan because he is lazy to walk,,1,,1,,,,,,
Drew took the longest route to the hot dog caravan because he wanted to exercise,,,,,,1,,,,
He got lost and missed the hot dog caravan because he is not familiar with the area,,,1,,,,,,,
He wanted some pizza and realised that he went to the wrong food caravan at the hot dog caravan then he left for the pizza caravan,,,,,1,,,,,
He was lazy to look for the hot dog caravan and decided to go to the nearest,,1,,1,,,,,,
He is a true sportsman.,,1,,,,,,,,
He played it safe and pizza was the safest thing to do even though hot dogs are his favorite food.,1,,,,,,,,,
I don't think hot dogs are his favorite food,1,,,,,,,,,
Being lazy and eating pizza is not bad at all.,,1,,,,,,,,
I think it's not lazy.,,1,,,,,,,,
Hot dogs really are his favorite food.,1,,,,,,,,,
I think this guy was looking for a third option for lunch.,,,,,,,,1,,
A good hot dog makes us happy.,,,,,1,,,,,
"He went to eat what he likes most, hot dog.",1,,,,,,,,,
He walked through the area and saw the pizza stand and it provoked him.,,,1,1,,,,,,
He walked all over the area and stopped to eat pizza.,,,1,,,,,,,
He went out to play sports and while walking he saw a hot dog stand and stopped to eat.,,,,1,,,,,,
His favorite food is hot dogs but the pizza stand was next door and he stopped to eat pizza.,1,,,,,,,,,
He went around the entire area and saw a hot dog stand and stopped there to eat.,,,1,1,,,,,,
"He went out to exercise and passed by the hot dog stand, which is his favorite food, but he didn't want to stop. Then he continued walking for a long time and was hungry. He saw the pizza stand and ended up eating the pizza.",1,,,1,,,,,,
"He went out for a jog and after he finished he ate hot dogs, which is his favorite food.",1,,,,,,,,,
It's the fastest route and he knows this.,,,1,,,,,,,
He's gone the long way round so he can get some exercise in.,,,,,,1,,,,
It's the first food place he sees.,,,,1,,,,,,
He went the long way round because he didn't know there was a shorter route.,,,1,,,,,,,
They're exploring and stop at the first place they see.,,,,1,,,,,,
He doesn't like hot dogs so he keeps going.,1,,,,,,,,,
They wanted to exercise a bit more before eating.,,,,,,1,,,,
It's the fastest route.,,,,,,,,,,
They are too lazy to walk to the hot dog stand.,,1,,,,,,,,
They fancied pizza and a walk.,,,,,1,,,,,
They don't know the area well so went walking in a random direction and had pizza when they saw the truck.,,,1,1,,,,,,
They fancied hot dogs rather than pizza.,,,,,1,,,,,
They went to the hot dog stand because they love hot dogs. They took the long route because they are sporty.,,1,,,,,,,,
They fancied pizza but took the long route as they are sporty.,,1,,,,,,,,
They decided to walk round the whole block to get to know the area and then get hot dogs at the end - they knew the stand was there as they could see it at the start.,,,1,1,,,,,,
They are sporty so decided to go explore the area and then when they saw the hot dog stand they bought hot dogs as they are their favourite food.,1,1,,1,,,1,,,
I was hungry and the closest thing in sight is the pizzeria.,,,,1,,,,,,
He walked through the area and saw a pizzeria and it provoked him and he stopped to eat.,,,1,1,,,,,,
Before eating hot dog he wanted to walk around the entire neighborhood to see what was new and ended up eating hot dog afterwards.,,,,1,,,,,,
"He walked to see his favorite food and as soon as he saw it, he didn't doubt it, he ate his hot dog.",1,,,1,,,,,,
"Before eating pizza he jogged for a while because he is sporty, then with the pizza he regained energy, this time he didn't want to eat his favorite food, which is hot dog.",1,1,,,,,,,,
He walked for a while and stopped at a hot dog stand because it provoked him.,,,,,,,,,,
He wanted to get to know the neighborhood and while walking he saw a hot dog stand and stopped to try them.,,,1,1,,,,,,
"He went to walk for a while, see the area and saw a pizza stand and couldn't resist.",,,1,1,,,,,,
That they like hot dogs,1,,,,,,,,,
That he likes hot dogs but is unsure of the way to go,1,,,,,,,,,
"That he wanted a hot dog over pizza, and knew the path he needed to take",,,,,1,,,,,
that they are sporty,,1,,,,,,,,
that brooklyn is sporty,,1,,,,,,,,
that he is lazy,,1,,,,,,,,
that they are lazy,,1,,,,,,,,
that they are sporty,,1,,,,,,,,
To eat a delicious pizza.,,,,,,,,,,
I think it's not lazy because I walk a long way and ignore the pizza truck.,,1,,,,,,,,
Laziness outweighed his desire to eat his favorite food.,1,,,,,,,,,
Taylor does know what it's like to go for her favorite food.,1,,1,,,,,,,
"He saw the pizza truck from the beginning, saw the hot dog truck along the way and still ended up eating pizza, I don't think the hot dog is his favorite food.",1,,,1,,,,,,
he wanted to eat the first food he could get.,,,,,1,,,,,
"Hurrah, Jesse went to eat his favorite food.",1,,,,,,,,,
He ate the first thing he got.,,,,1,,,,,,
He walked around to get to know the area and ended up eating pizza before getting home.,,,1,,,,,,,
He went out to see the area and went into the pizzeria to try them.,,,1,1,,,,,,
He went to explore the entire area and before reaching his destination he ate at the hot dog stand.,,,,,,,1,,,
"He went for a walk in the area when he saw his favorite food, he couldn't wait and ate some hot dogs.",1,,1,1,,,,,,
"This time he didn't want hot dog, which is his favorite food, but as soon as he saw the pizza stand he stopped to try them.",1,,,1,,,,,,
He went out to see the area and the hot dog stand caught his attention and he ate.,,,1,1,,,,,,
"His favorite food is hot dogs, but this time he went for a walk and when he saw the pizzeria he decided to take advantage and eat something else.",1,,,1,,,,,,
He saw the hot dog stand and couldn't resist seeing his favorite food.,1,,,1,,,,,,
In my own opinion its because its the quickest route,,,,,,,,,,
I think Brooklyn choose this path because he might find someone to show him to the right path,,,,,,,,,,
Adrian doesn't know the area too well but paraventure got to his destination,,,1,,,,,,,
because its the fastest route to the get the sales point,,,,,,,,,,
Charlie is just been lazy but still find a way to get to sales point,,1,,,,,,,,
They took the longest route to the pizza shop because they don't know the area but were still able to figure it out.,,,1,,,,,,,
Drew took the particular area because he knows the area very well,,,1,,,,,,,
Harper took the route because he does not know the area and he's been lazy,,1,1,,,,,,,
A need to learn the area for the future.,,,1,,,,,,,
He took the long way round for the exercise before rewarding himself.,,,,,,1,,,,
He wanted to eat something different as he eats hot dogs all the time.,,,,,1,,,,,
He wanted to eat a hot dog and it was no further than the pizza stand.,,,,,1,,,,,
"They wanted a hot dog and not knowing the area well, didn't want to get lost or lose their way back to the hot dog stand.",,,1,,1,,,,,
They took the long way round for the exercise and then rewarded themselves with their favourite food.,1,,,,,,,,,
He doesn't know the area and also doesn't want pizza so he kept going in search of something more preferable.,1,,1,,,,,,,
He doesn't know where other food options might be so he goes to the first one he sees.,,,1,1,,,,,,
He went straight to the pizza cart as thats what he wanted to eat.,,,,,1,,,,,
He went for a walk then decided to get pizza instead of his favourite food.,1,,,,,,,,,
They were hungry and found a pizza cart when they were walking around.,,,,,1,,,,,
He loves hotdogs so he went straight to the hotdog cart.,1,,,,,,,,,
He didnt know the area so went the long way to get his hotdog.,,,1,,,,,,,
He wanted pizza but went the longer way to get it.,,,,,1,,,,,
He was walking and felt like hotdogs as he walked past the cart.,1,,,,,,,,,
He was out for a run and seen a hotdog stand at the end so he got them.,,,,1,,,,,,
Charlie really wants hot dogs today,,,,,1,,,,,
They don't have time for a long route or to get to their favourite food today,1,,,,,,,,,
They want a longer trip to get some exercise,,,,,,1,,,,
They really want pizza today,,,,,1,,,,,
They remained hopeful there would be a hot dog stand despite going past the pizza stand,,,,,,,,,,
They want a long route for exercise,,,,,,1,,,,
They stop at the first food stand they reach,,,,,,,,,,
They stop at the first food stand they encounter which just happens to be a favourite food,1,,,,,,,,,
I was looking for something different to eat but ended up eating hot dogs...,,,,,,,,,,
He did not complicate and ate in the piz truck...,,,,,,,,,,
His desire to do sport made him walk for a long time...,,,,,,,,,,
"Wrong, hot dogs are not his favorite food...",1,,,,,,,,,
"In order not to walk so much, he went to get the hot dog truck...",,,,,,,,,,
Maybe if he had known the location of the hot dog truck he wouldn't have eaten pizza...,,,1,,,,,,,
"Wrong, this guy is not lazy...",,1,,,,,,,,
"That's right, his favorite food is hot dogs...",1,,,,,,,,,
The hotdog stand was closer,,,,1,,,,,,
they wanted to get pizza,,,,,1,,,,,
they don't know the area very well and didn't want hotdogs,,,1,,,,,,,
They know the area and wanted to get hotdogs,,,1,,1,,,,,
they were hungry and stopped at the first food stand,,,,,1,,,,,
they saw the stand and they were hungry,,,,1,,,,,,
they don't know the area well and didn't want pizza,,,1,,,,,,,
They wanted to go on a walk before getting food,,,,,,,,,,
Brooklyn likes pizza more and did not mind walking for a longer period of time (as he is sporty) to find a truck that sold a more suitable food for his liking.,1,1,,,,,,,,
He tried to find a closer place to get some food as he is lazy,,1,,1,,,,,,
He was willing to walk a long way in order to find his favourite food and didn't mind doing that because he was sporty,1,1,,,,,,,,
Parker could have eaten  too many hot dogs and decided to eat something else instead of his favourite food,1,,,,,,,,,
he saw his favourite food and went for it,1,,,1,,,,,,
he didn't mind walking for a long time becuase he is sporty in order to get another type of food than pizza,,1,,,,,,,,
he might have been starving and decided to placate his appetite with hot dogs,,,,,,,,,,
Charlie took the long way to get to the hot dog truck because he knew a drug delear and wanted to purchase some recreational drugs there.,,,1,,,,,,,
"Adrian is described as being lazy but goes all the way around, walking past the pizza store. This suggests that he does not like pizza and continued until he got to the hot dog store.",1,1,,,,,,,,
"Jesse enjoys hot dogs and can't see the stand from his starting point. Considering that they are his favourite, he decides to go and look for them.",1,,,1,,,,,,
"Parker's favourite food is hot dogs but he decides to head to the pizza stand. He is lazy and the pizza store is closer so decides to go there due to being lazy. Also, just because hot dogs are his favourite doesn't mean he also doesn't love pizza.",1,1,,1,,,,,,
Charlie is lazy and sees the hot dog stand in his vicinity so decides to go there instead of going on the walk to the pizza stand.,,1,,1,,,,,,
"Drew can't see the pizza stand but knows the area so skips past the hot dog stand. Being sporty, this wouldn't be an issue as he doesn't mind the extra distance. Also, he may simply enjoy pizza more.",,1,1,1,,,,,,
Taylor wants hot dogs and knows the area well so has no problem travelling for his favourite food.,1,,1,,,,,,,
"Brooklyn is new to the area but can't see the hot dog stand. However, because they are sporty, they continue towards the pizza stand. Taylor may not enjoy hot dogs and also may have no problem in new surroundings.",,1,1,1,,,,,,
"Harper loves hot dogs but decides to go past the stand and return to the pizza stand. Considering they are unknown to the area and considered lazy this is pretty interesting. The hot dog stand may have been closed, may have been busy or too expensive.",,1,1,1,,,,1,,
Jesse happened to see a hot dog stand selling her favourite food and must have been hungry.,1,,,1,,,,,,
Drew must have known where each food stand was because he knows the area.  He must have set himself the goal of walking or maybe jogging a distance and then rewarding himself.,,,1,,,,,,,
Maybe Brooklyn didn't like the look of the pizza stand and decided to press on until she found something else.,1,,,,,,,,,
Harper is lazy but still managed to take the longest route until he found his favourite.  Maybe he just decided to walk anit clockwise until he found something he wanted.,1,1,,,,,,,,
Maybe he doesn't like hot dogs or wasn't hungry enough to eat until he found the pizza stand.,1,,,,,,,,,
It makes sense if he knows the area and wanted a hot dog that he would take the shortest route as he is lazy.,,1,1,,,,,,,
Maybe the pizza stand was slightly less distance to walk.  He knew where it was so maybe he had this in mind.,,,1,,,,,,,
He wanted to do some exercise and resisted the temptation of having a hot dog.,,,,,,1,,,,
Charlie went the quickest route to the hot dog stand because he knows where the hot dog stand is situated as he knows the area well.,,,1,,,,,,,
Jesse could see a hot dog stand on the corner and went to investigate.,,,,1,,,,,,
As Taylor knows the area well he decided to take a longer route to the hot dog stand so he could get some exercise.,,,1,,,,,,,
Drew knows the area well so he went a slightly longer route to the pizza stand to get some exercise before he has something to eat.,,,1,,,,,,,
As Adrian doesn't know the area well he went a walk looking for a hot dog stand and eventually found one.,,,1,,,,,,,
Brooklyn doesn't know the area well and as he was feeling a wee bit hungry he spotted the pizza stand close by and thought he would give it a try.,,,1,1,,,,,,
As Harper does not know the area well he went for a walk to see if he could find a hot dog stand and he eventually did.,,,1,1,,,,,,
Parker favourite food is hot dogs so when he fancies a hot dog he goes to a hot dog stand just along the road.,1,,,,,,,,,
The hot dog stand was quicker to get to as Adrian is lazy.,,1,,,,,,,,
As Brooklyn is sporty he was happy to walk the extra distance to what I'd guess was his preferred food of hot dogs.,1,1,,,,,,,,
I think Charlie despite being lazy likes pizza a lot more than hot dogs so is prepared to walk further knowing where he can find his food of choice.,1,1,1,,,,,,,
The fact that Taylor likes hot dogs a lot.,1,,,,,,,,,
"Not knowing the area well, Harper went for food at the only place he could see it.",,,1,1,,,,,,
Jesse wanted to earn his fast food by going on a long walk first as he is sporty.,,1,,,,,,,,
I think maybe Harper didn't have any money but knowing the area well would know where a cash machine was and then made his way to his favourite food of hot dogs.,1,,1,,,,,,,
I think Drew prefers pizza and knows where he can find it.,1,,1,,,,,,,
"Boredom, he took the longer way because he's bored",,,,,1,1,,,,
He wanted to challenge himself because he's sporty,,1,,,,,,,,
They changed their mind and chose pizza,,,,,1,,,,,
Their favourite food is hot dogs,1,,,,,,,,,
He didn't feel like doing too much today,1,,,,,,,,,
They decided not to be lazy,,1,,,,,,,,
He went that way on a whim,,,,,,,,,,
They wanted a sporty challenge,,1,,,,,,,,
Harper loves Hotdogs and wanted them at that moment. Harper is not too fond of Pizza so opted to stick with his favourite food.,1,,,,,,,,,
"Drew doesn't mind trying different foods, however on this occasion he opted for Pizza. As he knows the area well de decided to bypass hotdogs for pizza.",,,1,,,,,,,
Adrian considered hotdogs but when he reached the stand he changed his mind. He knew where the pizza stand was because of where he began his route. So he decided to have pizza instead of hotdogs.,,,,,1,,,,,
Brooklyn opted for hotdogs due to have weak understand of the area. Brooklyn must have thought there may not be a food stand nearby and must have been hungry.,,,1,1,,,,,,
"Taylor must've altered his mind when he approached his favourite food. Knowing the area well, Taylor decided to have Pizza instead as it is around the corner.",1,,1,,,,,,,
Charlie opted for Pizza over Hotdogs. Pizza was more nearby and due to Charlie being lazy it would have been the ideal choice for Charlie.,,1,,1,,,,,,
"Parker wanted his favourite food, even though he is lazy the difference from Pizza to hotdog would'nt have exerted much of his energy.",1,1,,,,,,,,
"Although favourite food is hotdog, Jesse decided to try something else in the area of unknown. Jess was feeling adventurous and thought let us see where this path leads to. Jesse eventually arrived at Pizza stand and decided to have that instead.",1,,1,1,,,,,,
Taylor is very hungry,,,,,1,,,,,
I am not sure with this one at all!,,,,,,,,,1,
Brooklyn wants to take exercise to get his food,,,,,,1,,,,
Charlie likes hotdogs,1,,,,,,,,,
Charlie is lazy,,1,,,,,,,,
Drew prefers hotdogs,1,,,,,,,,,
Harper prefers hotdogs,1,,,,,,,,,
Jesse wants to exercise to enjoy his hotdogs,,,,,,1,,,,
This person went to the pizza stand,,,,,,,,,1,
Jesse does not know the route well of the area that it why  he passed his favourite spot.,1,,1,,,,,,,
Brooklyn is finding his way aound the area,,,1,,,,,,,
Taylor got his favourite spot in the area,1,,1,,,,,,,
Parker probably want to see the environment properly,,,,1,,,,,,
Charlie walks around the area to site see the environment,,,1,1,,,,,,
Drew is trying to know his favourite spot,1,,1,,,,,,,
The easiest way to get his favorite spot,1,,,,,,,,,
"As Brooklyn don't know the area well, they may have wanted to see what options they had, other than pizza, but then after having walked around the houses and seen the other option, decided to go to the pizza truck.",,,1,1,,,,,,
"Although Charlie is lazy, he knows the area well and so it's likely he knew where the hot dog truck was and decided to walk around the houses to the hot dog truck to get his preffered meal.",1,1,1,,,,,,,
"Adrian does not know the area well, and couldn't see either option of truck. He started walking in the direction of the pizza truck and when he reaches it, he stops and doesn't consider exploring further as he is lazy.",,1,1,1,,,,,,
The hot dog truck may have been closed as they are Parker's favourite food and he walked straight passed it.,1,,,1,,,,1,,
"Taylor would know there is a hot dog truck round the on the next corner, and does not seem to be lazy. I think it is likely that Taylor just wanted pizza this day.",1,1,1,1,1,,,,,
"Drew knew their was a hot dog van on the next corner, and whilst they were near the pizza van, decided to walk to the hot dog van as this is what he wanted to eat on this occasion.",,,,1,1,,,,,
Harper started walking in one direction as they don't know the area well and were lucky to find this truck sold hot dogs which are their favourite food.,1,,1,,,,,,,
Jesse is sporty and so walked around the block of houses to see what options they had. They stopped at the hot dog truck as they sell their favourite food.,1,1,,1,,,,,,
Jesse was so hungry that he decided to buy food from the first truck he saw. He doesn't know the area enough to know where the hot dog stand is based.,,,1,1,,,,,,
"Adrian dislikes hotdogs to the point that he would rather avoid them, even when he considers himself lazy.",1,1,,,,,,,,
Parker loves hotdogs and he knows where the hot dog stand is.,,,1,,,,,,,
"Because Harper didn't know where the hot dog stand was, he took the long way around to it. But from their point of view, they continued walking until they found something familiar.",,,1,,,,,,,
I believe Taylor wasn't wearing their glasses when they went out for a jog. That would explain why he didn't stop at the hot dog stand even though his favourite food is hot dogs.,1,,,,,,,,,
Brooklyn simply explored the area and discovered a hot dog stand that captured their eye.,,,,1,,,1,,,
Drew likes walking outside and since he's sporty. He considers it a fun activity. He took a break at the hot dog stand to have a hot dog as a snack before he went on another walk around his neighbourhood.,1,1,,,,,,,,
Charlie lives on pizza and knows that the location is around the corner. So he goes there to get his favourite treat.,1,,1,,,,,,,
They are lazy,,1,,,,,,,,
They dont know the area,,,1,,,,,,,
They wanted to exercise,,,,,,1,,,,
Their favourite food is hot dogs,1,,,,,,,,,
They don't know the area well,,,1,,,,,,,
They wanted to exercise,,,,,,1,,,,
Their favourite food is pizza,1,,,,,,,,,
They are lazy,,1,,,,,,,,
Because Drew knows his way around he is familiar with the food van placement and being a sporty fellow thought he would get some exercise by taking the long way round,,1,1,,,,,,,
"Adrian, in an attempt to find something to eat, got lost because he doean't know the area and had to take the long way round to the pizza cart. Being a lazy fellow, he would have eaten hot dogs but unfortunately the vendor had sold out.",,1,1,,,,,,,
"Harper, not knowing the area well spots a pizza pop-up eatery down the street and asks the vendor where the nearest hot dog stand is situated because they are his favourite food. However he is lazy and doean't want to walk far, but the hunger for hot dogs got the better of him and he takes a walk to the stand",1,1,1,1,,,,,,
Taylor takes his daily stroll to the hot dog stand at the end of his street to consume his favourite food. The vendor has promised to take a hot dog to the pizza seller around the corner and knowing Taylor is a sporty individual offers him a half price hot dog if he delivers another hot dog to the pizza seller.,1,1,1,,,,,,,
"Parker was caught in two minds. Being a lazy fellow his preference is to not expend too much energy and to hit the pizza stall, but his favouirite food are hot dogs and the stand is only a little further than the pizza stall. It was a close call but the hot dogs reign supreme in this case",1,1,,1,,,,,,
Charlie is particularly hungry today and the smell from the pizza cart has him salivating and with the cart only being two houses away he doesn't have to expend too much energy.,,,,1,1,,,,,
